query_id,item_id,engage_score,dt,topic_match,city_match,json_missing
170,I669,0,20260826,0.393064,1.0,0.0
170,I060,0,20260826,0.501574,1.0,0.0
170,I512,0,20260826,0.158852,0.0,0.0
170,I452,0,20260826,0.579913,1.0,0.0
170,I478,0,20260826,0.621632,0.0,0.0
170,I613,0,20260826,0.254041,0.0,0.0
170,I488,3,20260826,0.569039,1.0,0.0
171,I147,1,20260826,0.86721,0.0,0.0
171,I378,0,20260826,0.0,0.0,1.0
171,I288,0,20260826,0.615281,1.0,0.0
171,I013,0,20260826,0.0,0.0,1.0
171,I203,0,20260826,0.713998,0.0,0.0
171,I286,0,20260826,0.341872,0.0,0.0
171,I154,0,20260826,0.521775,0.0,0.0
172,I418,1,20260826,0.601217,1.0,0.0
172,I564,0,20260826,0.747504,0.0,0.0
172,I264,1,20260826,0.869418,1.0,0.0
172,I239,0,20260826,0.0,0.0,1.0
172,I262,0,20260826,0.0,0.0,1.0
172,I034,0,20260826,0.663977,0.0,0.0
172,I074,0,20260826,0.0,0.0,1.0
173,I486,0,20260826,0.355868,1.0,0.0
173,I041,0,20260826,0.618773,1.0,0.0
173,I105,0,20260826,0.322293,0.0,0.0
173,I309,0,20260826,0.651685,0.0,0.0
173,I671,0,20260826,0.637274,0.0,0.0
173,I008,1,20260826,0.805471,1.0,0.0
174,I126,0,20260826,0.542289,0.0,0.0
174,I099,0,20260826,0.501463,1.0,0.0
174,I288,0,20260826,0.696476,0.0,0.0
174,I355,0,20260826,0.181649,1.0,0.0
174,I320,10,20260826,0.494997,1.0,0.0
174,I688,0,20260826,0.426806,1.0,0.0
175,I448,1,20260826,0.571583,0.0,0.0
175,I247,1,20260826,0.430879,0.0,0.0
175,I345,0,20260826,0.15656,0.0,0.0
175,I269,0,20260826,0.084536,0.0,0.0
175,I414,0,20260826,0.282926,1.0,0.0
175,I143,0,20260826,0.117011,0.0,0.0
176,I635,0,20260826,0.362138,1.0,0.0
176,I311,1,20260826,0.638321,1.0,0.0
176,I387,0,20260826,0.294823,0.0,0.0
176,I223,0,20260826,0.547932,1.0,0.0
176,I283,0,20260826,0.363768,0.0,0.0
176,I671,0,20260826,0.404858,0.0,0.0
176,I108,0,20260826,0.164429,1.0,0.0
177,I018,0,20260826,0.662992,0.0,0.0
177,I295,0,20260826,0.483556,1.0,0.0
177,I314,0,20260826,0.325445,1.0,0.0
177,I497,0,20260826,0.470754,0.0,0.0
177,I121,0,20260826,0.437455,0.0,0.0
177,I193,0,20260826,0.65918,0.0,0.0
177,I288,0,20260826,0.525976,1.0,0.0
177,I359,1,20260826,0.474636,1.0,0.0
178,I655,0,20260826,0.703684,0.0,0.0
178,I541,0,20260826,0.072777,0.0,0.0
178,I454,0,20260826,0.548317,1.0,0.0
178,I260,0,20260826,0.057539,0.0,0.0
178,I051,0,20260826,0.574579,0.0,0.0
178,I083,0,20260826,0.410205,0.0,0.0
178,I073,3,20260826,0.658407,1.0,0.0
178,I149,0,20260826,0.316467,0.0,0.0
179,I023,0,20260826,0.397966,1.0,0.0
179,I613,0,20260826,0.164415,1.0,0.0
179,I027,0,20260826,0.0,0.0,1.0
179,I339,0,20260826,0.598486,0.0,0.0
179,I677,0,20260826,0.22272,0.0,0.0
179,I256,0,20260826,0.355615,0.0,0.0
179,I644,3,20260826,0.848274,1.0,0.0
180,I211,0,20260826,0.398667,1.0,0.0
180,I609,0,20260826,0.707082,1.0,0.0
180,I107,0,20260826,0.448794,1.0,0.0
180,I358,0,20260826,0.295719,1.0,0.0
180,I017,0,20260826,0.0,0.0,1.0
180,I546,1,20260826,0.471872,1.0,0.0
180,I637,0,20260826,0.359518,0.0,0.0
180,I044,0,20260826,0.349804,1.0,0.0
181,I195,0,20260826,0.309343,1.0,0.0
181,I537,1,20260826,0.419296,1.0,0.0
181,I544,0,20260826,0.708052,0.0,0.0
181,I185,0,20260826,0.623143,0.0,0.0
181,I462,0,20260826,0.208729,1.0,0.0
181,I126,0,20260826,0.422451,1.0,0.0
181,I081,0,20260826,0.555615,0.0,0.0
181,I651,0,20260826,0.367084,0.0,0.0
182,I524,0,20260826,0.67883,0.0,0.0
182,I251,0,20260826,0.0,0.0,1.0
182,I634,0,20260826,0.123198,0.0,0.0
182,I147,4,20260826,0.294092,1.0,0.0
182,I435,0,20260826,0.418921,0.0,0.0
182,I536,0,20260826,0.398904,1.0,0.0
183,I417,0,20260826,0.578394,0.0,0.0
183,I426,0,20260826,0.837131,0.0,0.0
183,I203,10,20260826,0.746684,1.0,0.0
183,I596,0,20260826,0.474831,1.0,0.0
183,I272,0,20260826,0.255752,0.0,0.0
183,I480,1,20260826,0.489167,1.0,0.0
183,I443,0,20260826,0.0,0.0,1.0
