item_id,dt,quality,freshness,title_len,author_score,hist_ctr,dwell_sec,share_rate,tag_n,tag_unique_n,catalog_type_n,bundle_seq_n,like_per_exp,share_per_exp
I000,20260829,0.518805,0.260419,26.0,0.219526,0.555936,12.714632,0.048554,3.0,3.0,3.0,7.0,0.118163,0.014635
I001,20260829,0.364758,0.969356,9.0,0.744978,0.514839,32.467545,0.054068,1.0,1.0,4.0,2.0,0.131084,0.024945
I002,20260829,0.784741,0.22378,62.0,0.609573,0.716212,43.874298,0.200524,7.0,7.0,5.0,3.0,0.168667,0.041344
I003,20260829,0.33831,0.503993,73.0,0.373648,0.484187,4.247804,0.01565,11.0,3.0,3.0,4.0,0.070149,0.018238
I004,20260829,0.602886,0.27582,72.0,0.416683,0.531242,12.918169,0.012558,2.0,1.0,1.0,8.0,0.089701,0.034103
I005,20260829,0.393238,0.126713,36.0,0.518633,0.491364,18.272057,0.038424,5.0,1.0,1.0,2.0,0.093525,0.016527
I006,20260829,0.43309,0.34725,10.0,0.188644,0.533544,29.165136,0.151482,9.0,5.0,5.0,4.0,0.11723,0.022517
I007,20260829,0.74273,0.187024,47.0,0.27266,0.66793,37.389204,0.000449,4.0,3.0,3.0,1.0,0.198034,0.024691
I008,20260829,0.314303,0.46921,12.0,0.865194,0.446578,22.673453,0.053749,10.0,2.0,4.0,2.0,0.152622,0.018336
I009,20260829,0.622707,0.684346,78.0,0.589313,0.655773,31.77666,0.051726,6.0,6.0,4.0,5.0,0.103755,0.025528
I010,20260829,0.548397,0.381493,30.0,0.766936,0.617818,38.77661,0.029595,7.0,7.0,5.0,5.0,0.042407,0.027366
I011,20260829,0.85521,0.529495,67.0,0.144414,0.745401,11.502481,0.186505,7.0,7.0,4.0,7.0,0.112695,0.033818
I012,20260829,0.166489,0.454513,12.0,0.66455,0.427732,45.564415,0.155454,9.0,3.0,5.0,2.0,0.046576,0.013363
I013,20260829,0.31704,0.172958,65.0,0.483489,0.527587,10.779513,0.031423,7.0,6.0,5.0,8.0,0.078851,0.013652
I014,20260829,0.304275,0.825334,40.0,0.116409,0.433415,17.255084,0.164362,10.0,6.0,4.0,1.0,0.100116,0.006152
I015,20260829,0.284666,0.686441,12.0,0.234698,0.435058,30.341831,0.0051,11.0,4.0,4.0,3.0,0.061501,0.005098
I016,20260829,0.475309,1.0,61.0,0.091735,0.565532,43.646908,0.131706,8.0,4.0,4.0,4.0,0.109448,0.019381
I017,20260829,0.629338,0.714117,71.0,0.946263,0.550508,29.487559,0.031046,2.0,1.0,5.0,3.0,0.152254,0.042979
I018,20260829,0.356583,0.687854,54.0,0.922878,0.469364,17.253074,0.052602,4.0,4.0,3.0,1.0,0.075986,0.009371
I019,20260829,0.375823,0.478916,20.0,0.141346,0.480182,19.36732,0.032662,6.0,6.0,5.0,2.0,0.09736,0.017496
I020,20260829,0.115026,0.256346,54.0,0.204263,0.323254,16.599042,0.055692,7.0,3.0,1.0,1.0,0.122162,0.029699
I021,20260829,0.209519,0.257248,20.0,0.72538,0.413658,22.553349,0.046319,5.0,1.0,3.0,6.0,0.123776,0.010065
I022,20260829,0.077354,0.930488,22.0,0.489481,0.354362,22.868836,0.038407,3.0,3.0,5.0,2.0,0.0,0.007362
I023,20260829,0.494825,0.106511,26.0,0.821569,0.563912,4.581223,0.008429,7.0,1.0,4.0,3.0,0.099248,0.010068
I024,20260829,0.033995,0.708844,54.0,0.708421,0.302582,18.732992,0.013775,2.0,2.0,2.0,5.0,0.021747,0.015081
I025,20260829,0.557863,0.728839,47.0,0.612497,0.597369,53.029645,0.005039,9.0,6.0,2.0,1.0,0.076994,0.011569
I026,20260829,0.390665,0.372461,26.0,0.319632,0.549264,27.514245,0.11013,10.0,3.0,2.0,1.0,0.035066,0.024592
I027,20260829,0.50463,0.272697,68.0,0.476054,0.546492,40.011013,0.030284,5.0,5.0,2.0,8.0,0.129173,0.003898
I028,20260829,0.176728,0.651136,29.0,0.354737,0.418719,14.732276,0.065651,6.0,6.0,2.0,3.0,0.090786,0.002363
I029,20260829,0.648571,0.159021,13.0,0.811188,0.643927,90.047116,0.123853,5.0,5.0,2.0,2.0,0.069243,0.015816
I030,20260829,0.628014,0.863335,57.0,0.919195,0.641777,17.819606,0.002878,10.0,3.0,3.0,4.0,0.154694,0.026624
I031,20260829,0.338196,0.895375,13.0,0.47773,0.448592,17.521295,0.026151,10.0,1.0,3.0,6.0,0.002174,0.0
I032,20260829,0.216317,0.316328,57.0,0.467023,0.404533,18.683135,0.076994,2.0,2.0,4.0,3.0,0.129562,0.012871
I033,20260829,0.485419,0.103389,40.0,0.655429,0.560444,96.56093,0.081096,7.0,3.0,2.0,5.0,0.124417,0.013347
I034,20260829,0.711543,0.500169,59.0,0.52589,0.673836,56.594856,0.10132,9.0,2.0,5.0,8.0,0.094912,0.036704
I035,20260829,0.535322,0.485967,21.0,0.752417,0.568187,52.087498,0.007151,6.0,6.0,5.0,8.0,0.066061,0.007104
I036,20260829,0.489943,0.826826,67.0,0.661892,0.606831,52.714119,0.121027,3.0,1.0,1.0,2.0,0.107303,0.013317
I037,20260829,0.168117,0.843273,18.0,0.33213,0.434406,39.349035,0.048232,10.0,2.0,4.0,5.0,0.123747,0.028669
I038,20260829,0.483014,0.562853,26.0,0.718223,0.54319,12.018777,0.008454,9.0,4.0,4.0,8.0,0.158068,0.016747
I039,20260829,0.923031,0.666737,14.0,0.766069,0.794114,23.689188,0.097259,8.0,2.0,2.0,3.0,0.090534,0.019678
I040,20260829,0.418961,0.207642,39.0,0.331797,0.558402,4.724248,0.064501,4.0,3.0,5.0,8.0,0.124779,0.031601
I041,20260829,0.467392,0.726353,25.0,0.646859,0.492601,1.0,0.068013,9.0,5.0,1.0,7.0,0.194548,0.044065
I042,20260829,0.100273,0.692541,14.0,0.403622,0.312702,36.263884,0.134064,3.0,1.0,1.0,8.0,0.092901,0.018745
I043,20260829,0.847678,0.698452,15.0,0.57584,0.745747,6.32967,0.131271,9.0,3.0,3.0,5.0,0.159519,0.028279
I044,20260829,0.823105,0.527493,76.0,0.585795,0.745116,10.276365,0.062406,4.0,4.0,5.0,4.0,0.126908,0.019476
I045,20260829,0.210306,0.6212,69.0,0.514596,0.432982,2.222718,0.307292,1.0,1.0,5.0,5.0,0.08943,0.0
I046,20260829,0.832771,0.525841,78.0,0.545355,0.743941,10.979134,0.042863,10.0,2.0,1.0,6.0,0.177834,0.038034
I047,20260829,0.868246,0.189088,78.0,0.846542,0.763223,6.066862,0.023234,3.0,1.0,5.0,3.0,0.185923,0.020083
I048,20260829,0.335515,0.751856,73.0,0.130142,0.476148,72.186207,0.041613,10.0,3.0,5.0,2.0,0.106185,0.031691
I049,20260829,0.616546,0.413138,41.0,0.695309,0.602902,38.658404,0.09522,3.0,3.0,1.0,7.0,0.144207,0.027396
I050,20260829,0.542781,0.0,66.0,0.416816,0.607175,82.629762,0.023567,8.0,3.0,5.0,1.0,0.135917,0.028585
I051,20260829,0.393346,0.729086,27.0,0.913469,0.527525,13.023954,0.075908,2.0,2.0,5.0,8.0,0.048566,0.025449
I052,20260829,0.16332,0.607821,70.0,0.774829,0.422492,5.608339,0.181323,2.0,2.0,1.0,3.0,0.110534,0.011631
I053,20260829,0.339619,0.716919,23.0,0.581303,0.503836,21.86038,0.262,4.0,1.0,1.0,1.0,0.12257,0.029776
I054,20260829,0.489203,0.082567,49.0,0.150377,0.529057,55.807285,0.106524,10.0,2.0,3.0,4.0,0.129016,0.017757
I055,20260829,0.51301,0.751604,33.0,0.379198,0.568878,1.0,0.092114,4.0,2.0,2.0,2.0,0.185656,0.017524
I056,20260829,0.706529,0.214129,54.0,0.642537,0.645446,7.792985,0.206924,10.0,3.0,5.0,6.0,0.174026,0.029286
I057,20260829,0.544968,0.389757,67.0,0.773796,0.59807,14.677975,0.064297,10.0,6.0,5.0,1.0,0.008328,0.014755
I058,20260829,0.248123,0.990762,65.0,0.247309,0.436931,27.044054,0.140221,11.0,6.0,1.0,5.0,0.058554,0.011409
I059,20260829,0.576612,0.348457,10.0,0.066512,0.585645,49.589825,0.015434,2.0,2.0,1.0,6.0,0.152557,0.022594
I060,20260829,0.435684,0.40441,75.0,0.288547,0.455927,12.800905,0.056359,9.0,4.0,5.0,5.0,0.135539,0.023332
I061,20260829,0.164672,0.385715,39.0,0.800671,0.378551,46.842347,0.049176,3.0,3.0,3.0,7.0,0.079415,0.01965
I062,20260829,0.342497,0.448552,10.0,0.355963,0.495082,24.059977,0.253287,10.0,1.0,5.0,2.0,0.112925,0.004632
