query_id,item_id,engage_score,dt,quality,freshness,title_len,author_score,topic_match,hist_ctr,dwell_sec,share_rate,tag_n,tag_unique_n,catalog_type_n,bundle_seq_n,like_per_exp,share_per_exp,city_match,json_missing
1,I473,0,20260814,0.231844,0.244329,38.0,0.478238,0.385229,0.4637,8.568253,0.092329,7.0,2.0,2.0,5.0,0.051053,0.008282,1.0,0.0
1,I604,4,20260814,0.540253,0.392983,54.0,0.648007,0.338741,0.65,6.053488,0.246368,11.0,2.0,1.0,4.0,0.084888,0.005318,1.0,0.0
1,I245,0,20260814,0.365646,0.443961,60.0,0.800513,0.28088,0.5489,26.670982,0.038548,6.0,2.0,2.0,5.0,0.122665,0.000621,1.0,0.0
1,I182,0,20260814,0.043803,0.328735,49.0,0.074884,0.107325,0.371,20.717916,0.005082,1.0,1.0,3.0,8.0,0.025401,0.01091,1.0,0.0
1,I209,1,20260814,0.239374,0.444265,53.0,0.395857,0.625367,0.492,9.522985,0.047771,9.0,1.0,5.0,3.0,0.082669,0.005318,1.0,0.0
1,I425,0,20260814,0.424459,0.506222,28.0,0.593534,0.418118,0.5833,21.8157,0.117837,10.0,7.0,2.0,2.0,0.060603,0.007865,0.0,0.0
1,I041,0,20260814,0.208416,0.338802,23.0,0.610412,0.811187,0.4214,17.618933,0.004442,8.0,5.0,1.0,5.0,0.043463,0.00577,0.0,0.0
2,I543,0,20260814,0.14696,0.359741,14.0,0.608906,0.0,0.4662,19.62659,0.062817,4.0,1.0,5.0,5.0,0.05051,0.007384,0.0,1.0
2,I424,0,20260814,0.602159,0.265558,51.0,0.524078,0.448993,0.6411,10.732949,0.223148,9.0,6.0,3.0,2.0,0.140915,0.005533,0.0,0.0
2,I304,0,20260814,0.172195,0.403103,36.0,0.85565,0.193219,0.3826,28.085031,0.088009,3.0,3.0,2.0,3.0,0.031736,0.009619,0.0,0.0
2,I485,0,20260814,0.416912,0.395605,26.0,0.467463,0.319198,0.5383,9.967288,0.048556,10.0,4.0,2.0,8.0,0.075212,0.021649,1.0,0.0
2,I139,0,20260814,0.753126,0.44323,18.0,0.212675,0.373925,0.731,21.152072,0.086902,5.0,4.0,3.0,1.0,0.107776,0.003949,0.0,0.0
2,I438,1,20260814,0.721993,0.28688,50.0,0.641216,0.485643,0.7342,10.050799,0.055216,11.0,1.0,4.0,2.0,0.100657,0.014761,1.0,0.0
2,I336,0,20260814,0.158407,0.306718,52.0,0.335629,0.0,0.4021,12.459359,0.031667,8.0,7.0,2.0,8.0,0.07458,0.01157,0.0,1.0
3,I555,10,20260814,0.623458,0.179877,46.0,0.448804,0.777251,0.6034,18.655673,0.01173,1.0,1.0,2.0,4.0,0.079806,0.003692,1.0,0.0
3,I558,0,20260814,0.374126,0.411828,71.0,0.347508,0.760726,0.5297,23.136767,0.102467,8.0,1.0,5.0,5.0,0.066383,0.004316,0.0,0.0
3,I190,0,20260814,0.403362,0.300586,67.0,0.57033,0.70164,0.5189,41.506083,0.176425,4.0,4.0,2.0,4.0,0.066607,0.032272,1.0,0.0
3,I103,0,20260814,0.205471,0.318544,36.0,0.543944,0.447978,0.4538,23.157651,0.007175,9.0,3.0,4.0,8.0,0.038761,0.006353,1.0,0.0
